Name,Players,Best,Designer,Publisher,Year,Notes
9 Lives,3-4,3-4,Taiki Shinzawa,Allplay,2015,AKA: Catty
American Bookshop,3-5,4,Taiki Shinzawa,Twins Lion Do,2019,
Bacon,3-6,4 or 6,Sean Ross,Allplay,2023,
Black Spy,3-6,4,Alan R. Moon,Z-Man,1981,
Bottle Imp,2-4,3,Günter Cornett,Stronghold,1995,
Cahoots,3-4,4,Jay Treat,Mayday,2018,
Charms,3-4,3,Taiki Shinzawa,New Mill Industries,2014,AKA: Dois
Cinderella’s Last Dance,2,2,Taiki Shinzawa,Kentaiki,2019,AKA: Count up 21
Cobras,1-5,4,Chris & Suzanne Zinsli,Cardboard Edison,2017,
Dog Tag Trick,3-5,4,Jyujin Ohtsubo,Game Nowa,2020,Japanese Import
Dwarf King,3-5,4,Bruno Faidutti,IELLO,2011,
Enemy Anemone,2-6,2 or 4,Daniel Newman,New Mill Industries,2023,
The Crew: Mission Deep Sea,3-5,4,Thomas Sing,KOSMOS,2019,
The Crew: Quest for Planet Nine,3-5,4,Thomas Sing,KOSMOS,2021,
David & Goliath,3-6,4,Reinhard Staupe,Pegasus Spiele,1997,
Dokitto! Ice,2-5,3,Lana Inagaki,Lana&Papa,2020,Japanese Import
Fool!,4-8,5-6,Friedemann Friese,Stronghold,2018,
For Northwood,1,1,Wilhelm Su,2021,,
Haggis,2-4,2,Sean Ross,Porland Game Collective,2010,
The Fox in the Forest,2,2,Joshua Buergel,Renegade / FoxTrot,2017,
The Fox in the Forest Duet,2,2,Joshua Buergel,Renegade / FoxTrot,2020,
Ghosts of Christmas,3-4,4,Taiki Shinzawa,Allplay,2019,
Gudetama,2-7,4-5,Ben Eisner & Steve Ellis,Renegade / Oni,2020,Like cucumber
Inflation!,3-4,4,Taiki Shinzawa,New Mill Industries,2019,AKA: Zimbabweee Trick
Keine Lahma Agame,2-5,?,Günter Peter,Mücke Spiele,2018,AKA: Agame not lame
Letter Tricks,3-5,4,Chris Wray,Self,2021,
Little Devils,3-6,5-6,Michael Feldkötter,Stronghold,2012,
Lunar,2 or 4,4,Masato Uesugi,Allplay,2023,
Mori,3-5,4,Daniel Newman,Allplay,2023,
Nokosu Dice,3-5,4,Yusuke Matsumoto,Engames,2016,Japanese Import
Phantom of the Opera,2,2,Geonil,Schemers,2024,Korean Import
Pies,3-5,5,Matthias Cramer,Allplay,2023,
Planet Etuc,2-3,3,Taiki Shinzawa,Twins Lion Do,2020,
Rainbow Road,2,2,?,?,?,Japanese Import
Rebel Princess,3-6,4-6,Daniel Byrne et al, Zombi Paella,2023,
Sail,2,2,Akiyama Koryo & Kozu Yusei,Allplay,2023,AKA: Hameln Cave
Sandbag,3-6,5-6,Ted Alspach,Bezier,2024,
Schadenfreude,3-5,3,ctr,Studio Turbine,2021,Japanese Import
Scheming and Skulking,2-6,4-6,Brent & Jeffrey Beck,Grandpa Beck's Games,2013,
Scout,2-5,4,Kei Kajino,Oink Games,2019,
Sticheln,3-8,4,Klaus Palesch,Amigo,1993,AKA: Stick 'Em
Sumo,2,2,kota konno,konno,2023,Japanese Import
Tricktakers,2-5,4-5,Hiroken,Portland Game Collective,2021,
Trick-Taking in Black and White,2-4,3,Tsutomu Dejima,Decoct Design,2021,Japanese Import
Twinkle Starship,3-4,4,Taiki Shinzawa,Twins Lion Do,2020,AKA: Segment Stix
Wizard,3-6,4-5,Ken Fisher,Amigo,1984,
Xylotar,2-5,4-5,Chris Wray,Bezier,2024,AKA: Magic Trick
